"","term","frequency"
"1","interest",6
"2","long",5
"3","import",5
"4","humor",4
"5","fear",4
"6","wait",4
"7","tast",4
"8","tree",4
"9","train",4
"10","doll",4
"11","pump",4
"12","bike",4
"13","coil",4
"14","rag",4
"15","use",4
"16","scare",4
"17","hapless",3
"18","sail",3
"19","care",3
"20","like",3
"21","trite",3
"22","cheer",3
"23","entertain",3
"24","expand",3
"25","repeat",3
"26","terrif",3
"27","shrug",3
"28","harmoni",3
"29","smile",3
"30","shop",3
"31","holiday",3
"32","overwrought",3
"33","equal",3
"34","warn",3
"35","cycl",3
"36","doubt",3
"37","forego",3
"38","dust",3
"39","smash",3
"40","decid",3
"41","deceiv",3
"42","level",3
"43","reach",3
"44","efficaci",3
"45","mountain",3
"46","move",3
"47","snake",3
"48","exist",3
"49","invent",3
"50","jail",3
"51","rod",3
"52","dull",3
"53","spot",3
"54","troubl",3
"55","amus",3
"56","time",3
"57","pail",3
"58","righteous",3
"59","delic",3
"60","present",3
"61","hate",3
"62","pet",3
"63","unequ",3
"64","excit",3
"65","sand",3
"66","plastic",3
"67","gruesom",3
"68","temper",3
"69","tenuous",3
"70","scene",3
"71","quizzic",3
"72","front",3
"73","spiritu",3
"74","snow",3
"75","lie",3
"76","unpack",3
"77","creatur",2
"78","red",2
"79","mind",2
"80","serious",2
"81","touch",2
"82","wonder",2
"83","blink",2
"84","icicl",2
"85","drop",2
"86","greas",2
"87","rush",2
"88","uppiti",2
"89","voic",2
"90","haunt",2
"91","ship",2
"92","boundless",2
"93","bone",2
"94","sister",2
"95","lock",2
"96","remain",2
"97","frantic",2
"98","macho",2
"99","belliger",2
"100","blush",2
"101","pack",2
"102","intern",2
"103","wobbl",2
"104","desert",2
"105","habitu",2
"106","blueey",2
"107","respons",2
"108","muddl",2
"109","divis",2
"110","ignor",2
"111","orang",2
"112","dusti",2
"113","bottl",2
"114","tasti",2
"115","tell",2
"116","branch",2
"117","dare",2
"118","channel",2
"119","exot",2
"120","last",2
"121","alert",2
"122","laugh",2
"123","pickl",2
"124","question",2
"125","rigid",2
"126","correct",2
"127","pollut",2
"128","save",2
"129","zani",2
"130","jar",2
"131","wire",2
"132","stroke",2
"133","trot",2
"134","compet",2
"135","daughter",2
"136","gusti",2
"137","health",2
"138","draconian",2
"139","verdant",2
"140","eleg",2
"141","bite",2
"142","earthi",2
"143","adventur",2
"144","maid",2
"145","hope",2
"146","pipe",2
"147","trap",2
"148","writer",2
"149","cushion",2
"150","handl",2
"151","hellish",2
"152","misti",2
"153","stage",2
"154","plan",2
"155","absorb",2
"156","lick",2
"157","man",2
"158","rich",2
"159","edg",2
"160","claim",2
"161","wiri",2
"162","live",2
"163","shelter",2
"164","scarc",2
"165","incred",2
"166","numer",2
"167","seat",2
"168","surpris",2
"169","stale",2
"170","ruddi",2
"171","stamp",2
"172","abject",2
"173","fair",2
"174","testi",2
"175","vein",2
"176","pain",2
"177","frame",2
"178","cheat",2
"179","command",2
"180","key",2
"181","unus",2
"182","unwritten",2
"183","endur",2
"184","jitteri",2
"185","gate",2
"186","middl",2
"187","substanti",2
"188","squalid",2
"189","water",2
"190","enter",2
"191","friend",2
"192","pie",2
"193","trashi",2
"194","continu",2
"195","parallel",2
"196","rang",2
"197","roll",2
"198","finger",2
"199","sip",2
"200","devilish",2
"201","hallow",2
"202","oldfashion",2
"203","tick",2
"204","wick",2
"205","rob",2
"206","bridg",2
"207","obsolet",2
"208","shock",2
"209","letter",2
"210","whirl",2
"211","sleepi",2
"212","kitti",2
"213","mother",2
"214","wigg",2
"215","alleg",2
"216","jump",2
"217","screw",2
"218","chubbi",2
"219","petit",2
"220","plantat",2
"221","bore",2
"222","certain",2
"223","possess",2
"224","debonair",2
"225","nappi",2
"226","spite",2
"227","subsequ",2
"228","frequent",2
"229","adam",2
"230","anger",2
"231","remind",2
"232","harass",2
"233","numberless",2
"234","fri",2
"235","trace",2
"236","form",2
"237","grace",2
"238","sneez",2
"239","bird",2
"240","tasteless",2
"241","truck",2
"242","furnitur",2
"243","cracker",2
"244","wing",2
"245","cruel",2
"246","machin",2
"247","picayun",2
"248","uncl",2
"249","type",2
"250","market",2
"251","peep",2
"252","needl",2
"253","increas",2
"254","alarm",2
"255","muscl",2
"256","protect",2
"257","tug",2
"258","crabbi",2
"259","fret",2
"260","stori",2
"261","opposit",2
"262","steer",2
"263","cute",2
"264","reson",2
"265","grab",2
"266","loaf",2
"267","overjoy",2
"268","woman",2
"269","fire",2
"270","passeng",2
"271","faint",2
"272","diverg",2
"273","bag",2
"274","messi",2
"275","hush",2
"276","shrill",2
"277","warm",2
"278","clammi",2
"279","quixot",2
"280","complain",2
"281","purpos",2
"282","spoon",2
"283","toe",2
"284","welltodo",2
"285","phone",2
"286","first",2
"287","glossi",2
"288","ring",2
"289","wellmad",2
"290","hat",2
"291","grip",2
"292","cat",2
"293","normal",2
"294","fals",2
"295","magic",2
"296","faulti",2
"297","copper",2
"298","bee",2
"299","pot",2
"300","shaggi",2
"301","credit",2
"302","sign",2
"303","home",2
"304","irrit",2
"305","bell",2
"306","unusu",2
"307","rustic",2
"308","love",2
"309","rais",2
"310","minor",2
"311","reproduc",2
"312","prose",2
"313","plant",2
"314","childlik",2
"315","basket",2
"316","cherri",2
"317","back",2
"318","metal",2
"319","advic",2
"320","night",2
"321","mate",1
"322","mix",1
"323","turn",1
"324","gain",1
"325","know",1
"326","pig",1
"327","help",1
"328","relat",1
"329","bounci",1
"330","cur",1
"331","gape",1
"332","fade",1
"333","watch",1
"334","camp",1
"335","degre",1
"336","fresh",1
"337","escap",1
"338","burn",1
"339","flap",1
"340","ink",1
"341","agre",1
"342","crime",1
"343","merci",1
"344","exercis",1
"345","select",1
"346","island",1
"347","offic",1
"348","peck",1
"349","dam",1
"350","examin",1
"351","kick",1
"352","brief",1
"353","carpent",1
"354","repli",1
"355","attach",1
"356","funni",1
"357","tour",1
"358","ban",1
"359","festiv",1
"360","grape",1
"361","abhorr",1
"362","hang",1
"363","judg",1
"364","penit",1
"365","plug",1
"366","act",1
"367","grubbi",1
"368","afford",1
"369","regret",1
"370","dri",1
"371","murder",1
"372","step",1
"373","disillus",1
"374","cover",1
"375","breezi",1
"376","squeamish",1
"377","bleach",1
"378","consist",1
"379","learn",1
"380","porter",1
"381","calendar",1
"382","swim",1
"383","tedious",1
"384","likeabl",1
"385","ordinari",1
"386","plane",1
"387","provid",1
"388","wet",1
"389","evas",1
"390","partner",1
"391","coordin",1
"392","mourn",1
"393","old",1
"394","bake",1
"395","star",1
"396","descript",1
"397","error",1
"398","proud",1
"399","cumbersom",1
"400","nondescript",1
"401","forc",1
"402","nutti",1
"403","loud",1
"404","mug",1
"405","queue",1
"406","airplan",1
"407","desk",1
"408","disarm",1
"409","spring",1
"410","lunchroom",1
"411","afterthought",1
"412","familiar",1
"413","romant",1
"414","itch",1
"415","look",1
"416","open",1
"417","rotten",1
"418","benefici",1
"419","ear",1
"420","receiv",1
"421","suprem",1
"422","beginn",1
"423","better",1
"424","fat",1
"425","rat",1
"426","mouth",1
"427","wrath",1
"428","feebl",1
"429","juggl",1
"430","outstand",1
"431","satisfi",1
"432","dire",1
"433","educ",1
"434","healthi",1
"435","slip",1
"436","stomach",1
"437","fix",1
"438","expect",1
"439","hungri",1
"440","label",1
"441","true",1
"442","giant",1
"443","injur",1
"444","repres",1
"445","mark",1
"446","next",1
"447","teeni",1
"448","berserk",1
"449","silent",1
"450","juvenil",1
"451","obedi",1
"452","fast",1
"453","milk",1
"454","oval",1
"455","deserv",1
"456","gees",1
"457","remov",1
"458","actual",1
"459","soggi",1
"460","apathet",1
"461","coo",1
"462","imparti",1
"463","eggnog",1
"464","tricki",1
"465","direct",1
"466","flagrant",1
"467","kneel",1
"468","rhythm",1
"469","air",1
"470","ambiti",1
"471","mend",1
"472","ticket",1
"473","cloth",1
"474","foami",1
"475","incompet",1
"476","instrument",1
"477","undesir",1
"478","green",1
"479","hyster",1
"480","obnoxi",1
"481","purpl",1
"482","quinc",1
"483","bumpi",1
"484","enchant",1
"485","nod",1
"486","valuabl",1
"487","wast",1
"488","ablaz",1
"489","obeis",1
"490","stingi",1
"491","team",1
"492","thank",1
"493","airport",1
"494","averag",1
"495","hesit",1
"496","clap",1
"497","mask",1
"498","fallaci",1
"499","stereotyp",1
"500","woozi",1
"501","call",1
"502","tawdri",1
"503","wish",1
"504","challeng",1
"505","god",1
"506","overt",1
"507","dynam",1
"508","reminisc",1
"509","unit",1
"510","worm",1
"511","sudden",1
"512","tremend",1
"513","daili",1
"514","destruct",1
"515","farflung",1
"516","smell",1
"517","admir",1
"518","need",1
"519","yield",1
"520","guttur",1
"521","mass",1
"522","one",1
"523","automat",1
"524","pizza",1
"525","scatter",1
"526","greasi",1
"527","men",1
"528","raspi",1
"529","trouser",1
"530","flavor",1
"531","nonstop",1
"532","fanci",1
"533","foolish",1
"534","flawless",1
"535","year",1
"536","concentr",1
"537","curl",1
"538","obey",1
"539","weather",1
"540","curv",1
"541","empti",1
"542","nasti",1
"543","want",1
"544","reaction",1
"545","ugliest",1
"546","sheep",1
"547","mitten",1
"548","somber",1
"549","cattl",1
"550","didact",1
"551","idiot",1
"552","nutriti",1
"553","spurious",1
"554","gray",1
"555","linen",1
"556","vigor",1
"557","curious",1
"558","happi",1
"559","manag",1
"560","necessari",1
"561","plain",1
"562","quickest",1
"563","push",1
"564","quarrelsom",1
"565","tap",1
"566","wail",1
"567","rhyme",1
"568","suspect",1
"569","base",1
"570","point",1
"571","polish",1
"572","thin",1
"573","windi",1
"574","aback",1
"575","kettl",1
"576","combat",1
"577","jam",1
"578","allur",1
"579","possibl",1
"580","utopian",1
"581","decay",1
"582","noxious",1
"583","describ",1
"584","immens",1
"585","rub",1
"586","savori",1
"587","violent",1
"588","glass",1
"589","wooden",1
"590","apparel",1
"591","cool",1
"592","ant",1
"593","workabl",1
"594","abort",1
"595","alik",1
"596","puffi",1
"597","wild",1
"598","heavi",1
"599","hurt",1
"600","suit",1
"601","awar",1
"602","nest",1
"603","pastor",1
"604","pathet",1
"605","squeal",1
"606","jade",1
"607","arrog",1
"608","gift",1
"609","right",1
"610","cautious",1
"611","cave",1
"612","found",1
"613","scintil",1
"614","silki",1
"615","capabl",1
"616","own",1
"617","pleasant",1
"618","sofa",1
"619","swift",1
"620","cri",1
"621","drum",1
"622","histor",1
"623","mighti",1
"624","unhealthi",1
"625","delight",1
"626","grotesqu",1
"627","inquisit",1
"628","raini",1
"629","squar",1
"630","thirsti",1
"631","dapper",1
"632","neat",1
"633","whistl",1
"634","whole",1
"635","detail",1
"636","toothpast",1
"637","male",1
"638","sparkl",1
"639","gun",1
"640","nosi",1
"641","babi",1
"642","rail",1
"643","sprout",1
"644","aboard",1
"645","mani",1
"646","rapid",1
"647","wrist",1
"648","zoom",1
"649","same",1
"650","fruit",1
"651","mute",1
"652","simplist",1
"653","crowd",1
"654","knowledg",1
"655","makeshift",1
"656","joyous",1
"657","overr",1
"658","quaint",1
"659","headi",1
"660","locket",1
"661","narrow",1
"662","half",1
"663","tire",1
"664","zippi",1
"665","bed",1
"666","mailbox",1
"667","tangi",1
"668","labor",1
"669","thrill",1
"670","unarm",1
"671","achiev",1
"672","behavior",1
"673","carriag",1
"674","word",1
"675","filthi",1
"676","hill",1
"677","previous",1
"678","way",1
"679","believ",1
"680","drab",1
"681","licens",1
"682","ray",1
"683","fascin",1
"684","flash",1
"685","breakabl",1
"686","delay",1
"687","honey",1
"688","deliv",1
"689","nonchal",1
"690","pin",1
"691","root",1
"692","inform",1
"693","laughabl",1
"694","ball",1
"695","unadvis",1
"696","straight",1
"697","pois",1
"698","produc",1
"699","winter",1
"700","addict",1
"701","bent",1
"702","risk",1
"703","four",1
"704","matur",1
"705","vacuous",1
"706","fenc",1
"707","notebook",1
"708","vivaci",1
"709","elbow",1
"710","match",1
"711","applaud",1
"712","insidi",1
"713","activ",1
"714","print",1
"715","territori",1
"716","launch",1
"717","loutish",1
"718","miniatur",1
"719","snail",1
"720","colour",1
"721","request",1
"722","welcom",1
"723","roomi",1
"724","trucul",1
"725","floor",1
"726","callous",1
"727","ether",1
"728","fluffi",1
"729","superfici",1
"730","bewild",1
"731","farm",1
"732","string",1
"733","bizarr",1
"734","buri",1
"735","flock",1
"736","plucki",1
"737","transport",1
"738","bulb",1
"739","ladybug",1
"740","addit",1
"741","calcul",1
"742","slimi",1
"743","worri",1
"744","drain",1
"745","absent",1
"746","lowli",1
"747","smoke",1
"748","acoust",1
"749","bucket",1
"750","hand",1
"751","telephon",1
"752","accident",1
"753","precious",1
"754","jean",1
"755","kind",1
"756","juic",1
"757","memoris",1
"758","needi",1
"759","elfin",1
"760","feign",1
"761","hot",1
"762","monkey",1
"763","thing",1
"764","fold",1
"765","jumpi",1
"766","treat",1
"767","dilig",1
"768","skill",1
"769","yummi",1
"770","aborigin",1
"771","cut",1
"772","walk",1
"773","cast",1
"774","condit",1
"775","mean",1
"776","rout",1
"777","bounc",1
"778","crate",1
"779","prick",1
"780","tame",1
"781","toad",1
"782","note",1
"783","play",1
"784","flower",1
"785","drawer",1
"786","allow",1
"787","women",1
"788","behav",1
"789","fork",1
"790","skirt",1
"791","stupend",1
"792","system",1
"793","giraff",1
"794","uttermost",1
"795","whip",1
"796","wide",1
"797","eye",1
"798","voiceless",1
"799","fairi",1
"800","bat",1
"801","morn",1
"802","past",1
"803","ambigu",1
"804","clutter",1
"805","corn",1
"806","trade",1
"807","mammoth",1
"808","youth",1
"809","engin",1
"810","celeri",1
"811","bites",1
"812","extralarg",1
"813","fool",1
"814","larg",1
"815","needless",1
"816","remark",1
"817","space",1
"818","frog",1
"819","shallow",1
"820","share",1
"821","steep",1
"822","difficult",1
"823","milki",1
"824","chemic",1
"825","illinform",1
"826","interfer",1
"827","silver",1
"828","snore",1
"829","weigh",1
"830","itchi",1
"831","nerv",1
"832","oafish",1
"833","excel",1
"834","rins",1
"835","soda",1
"836","suck",1
"837","defect",1
"838","disastr",1
"839","dramat",1
"840","coloss",1
"841","order",1
"842","preserv",1
"843","toy",1
"844","boorish",1
"845","dinosaur",1
"846","stand",1
"847","sticki",1
"848","disapprov",1
"849","experi",1
"850","flashi",1
"851","place",1
"852","sore",1
"853","aunt",1
"854","pleas",1
"855","support",1
"856","icki",1
"857","sky",1
"858","slim",1
"859","suggest",1
"860","wash",1
"861","pen",1
"862","rabid",1
"863","attack",1
"864","prepar",1
"865","quick",1
"866","fowl",1
"867","malici",1
"868","adjoin",1
"869","sharp",1
"870","car",1
"871","expans",1
"872","oatmeal",1
"873","sound",1
"874","spooki",1
"875","popcorn",1
"876","annoy",1
"877","hideous",1
"878","imaginari",1
"879","agreement",1
"880","clumsi",1
"881","coher",1
"882","suppli",1
"883","aquat",1
"884","communic",1
"885","card",1
"886","caus",1
"887","great",1
"888","tow",1
"889","rough",1
"890","shake",1
"891","stew",1
"892","bath",1
"893","powder",1
"894","practis",1
"895","growth",1
"896","lake",1
"897","two",1
"898","ratti",1
"899","shut",1
"900","confus",1
"901","meek",1
"902","simpl",1
"903","bright",1
"904","gami",1
"905","useless",1
"906","cake",1
"907","guess",1
"908","royal",1
"909","earthquak",1
"910","rifl",1
"911","friction",1
"912","huski",1
"913","flaki",1
"914","selfish",1
"915","armi",1
"916","flight",1
"917","reflect",1
"918","common",1
"919","dirti",1
"920","hulk",1
"921","earth",1
"922","knit",1
"923","majest",1
"924","show",1
"925","noiseless",1
"926","uninterest",1
"927","zinc",1
"928","cactus",1
"929","differ",1
"930","rice",1
"931","secondhand",1
"932","veget",1
"933","harbor",1
"934","luxuri",1
"935","scale",1
"936","leg",1
"937","mint",1
"938","signal",1
"939","sun",1
"940","conscious",1
"941","gaudi",1
"942","dress",1
"943","outgo",1
"944","announc",1
"945","tall",1
"946","tomato",1
"947","digest",1
"948","glib",1
"949","new",1
"950","spare",1
"951","stick",1
"952","busi",1
"953","low",1
"954","dizzi",1
"955","idea",1
"956","recept",1
"957","birth",1
"958","emin",1
"959","giddi",1
"960","lunch",1
"961","cloister",1
"962","wipe",1
"963","gather",1
"964","handsom",1
"965","jelli",1
"966","seed",1
"967","accur",1
"968","perpetu",1
"969","unwieldi",1
"970","cudd",1
"971","domin",1
"972","physic",1
"973","thunder",1
"974","determin",1
"975","guitar",1
"976","naughti",1
"977","sweet",1
"978","bit",1
"979","check",1
"980","stir",1
"981","crack",1
"982","suffer",1
"983","wander",1
"984","cobweb",1
"985","disagre",1
"986","jumbl",1
"987","puzzl",1
"988","clever",1
"989","door",1
"990","count",1
"991","fireman",1
"992","flag",1
"993","introduc",1
"994","premium",1
"995","horn",1
"996","skinni",1
"997","anim",1
"998","hook",1
"999","minut",1
"1000","visitor",1
"1001","bump",1
"1002","duck",1
"1003","servant",1
"1004","zonk",1
"1005","afraid",1
"1006","scratch",1
"1007","mess",1
"1008","tidi",1
"1009","wacki",1
"1010","upset",1
"1011","vanish",1
"1012","wave",1
"1013","acid",1
"1014","jog",1
"1015","roof",1
"1016","various",1
"1017","odd",1
"1018","placid",1
"1019","wake",1
"1020","dazzl",1
"1021","flimsi",1
"1022","lewd",1
"1023","obtain",1
"1024","dysfunct",1
"1025","meal",1
"1026","violet",1
"1027","sugar",1
"1028","uniqu",1
"1029","lamp",1
"1030","memori",1
"1031","scissor",1
"1032","seem",1
"1033","argument",1
"1034","encourag",1
"1035","grade",1
"1036","sabl",1
"1037","sidewalk",1
"1038","wrap",1
"1039","balanc",1
"1040","complet",1
"1041","ici",1
"1042","recess",1
"1043","appreci",1
"1044","boil",1
"1045","tightfist",1
"1046","basketbal",1
"1047","caption",1
"1048","clean",1
"1049","phobic",1
"1050","compani",1
"1051","wool",1
"1052","infam",1
"1053","rake",1
"1054","stop",1
"1055","abnorm",1
"1056","secret",1
"1057","slipperi",1
"1058","whimsic",1
"1059","trick",1
"1060","agon",1
"1061","coach",1
"1062","punish",1
"1063","chin",1
"1064","sulki",1
"1065","vast",1
"1066","bolt",1
"1067","magnific",1
"1068","uptight",1
"1069","harm",1
"1070","motion",1
"1071","quartz",1
"1072","read",1
"1073","consid",1
"1074","queen",1
"1075","yell",1
"1076","book",1
"1077","bubbl",1
"1078","marvel",1
"1079","accept",1
"1080","freez",1
"1081","tax",1
"1082","jolli",1
"1083","shoe",1
